Q1,Q25,Q25,Q26,Q26,Q27,Q27,Q28,Q28,Q29,Q29,Q30,Q30,Q31,Q31,Q32,Q32,Q33,Q33,Q34,Q34,Q35,Q36,Q36,Q36
Please enter your Participant ID,I can use a computer keyboard to type.,Score,I can use a mouse.,Score,I can load ink into the printer.,Score,I can fix the printer when paper jams.,Score,I can open emails.,Score,I can send emails.,Score,"I
can find information about local community resources on the internet.",Score,"I
can find information about my hobbies and interests on the internet.",Score,"I
can use a computer to enter events and appointments into a calendar.",Score,"I
can check the date and time of upcoming and prior appointments.",Score,"I
can use a computer to watch movies and videos.",Score,"I
can use a computer to listen to music.",Score
1,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
2,Very easily,5,Somewhat easily,4,Never tried,1,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
3,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
4,Very easily,5,Very easily,5,Somewhat easily,4,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
5,Very easily,5,Very easily,5,Not very easily,3,Not very easily,3,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5
6,Very easily,5,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
8,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Never tried,1,Somewhat easily,4,Very easily,5,Very easily,5
9,Very easily,5,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
10,Very easily,5,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
11,Very easily,5,Very easily,5,Never tried,1,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
12,Very easily,5,Very easily,5,Not very easily,3,Not very easily,3,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
13,Very easily,5,Very easily,5,Never tried,1,Never tried,1,Very easily,5,Very easily,5,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
14,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
18,Very easily,5,Very easily,5,Not very easily,3,Not at all,2,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
20,Very easily,5,Very easily,5,Never tried,1,Not very easily,3,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5
21,Very easily,5,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
23,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
24,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
25,Very easily,5,Very easily,5,Never tried,1,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
26,Very easily,5,Very easily,5,Not very easily,3,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
29,Very easily,5,Very easily,5,Somewhat easily,3,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Not very easily,3,Not very easily,3,Very easily,5,Very easily,5
