pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI_promptBkgdKeys.rt,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 't', 'return']","[0.5721507999114692, 0.7485944000072777, 0.8599694999866188, 1.012009099824354, 1.2281738999299705, 1.8920246998313814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', '4', 'p', 'l', 'a', 'y', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'p', 'l', 'a', 'y', 'return']","[0.47028580005280674, 0.5587324001826346, 0.6064524000976235, 0.7264258000068367, 0.8783682000357658, 0.9903892001602799, 1.1352516000624746, 1.735362300183624, 1.8636177000589669, 1.982998999999836, 2.086573700187728, 2.4785730000585318, 3.055214500054717, 3.206957200076431, 3.350564300082624, 3.4786584000103176, 4.030740900197998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.7146620999556035, 0.8676068000495434, 1.3148336000740528, 1.418822699924931, 1.5549560999497771, 1.666846999898553, 2.570827200077474]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,defame,quarry,6.5,7.5,video&audio/frugal_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,frugal,patent,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, defame,"['d', 'e', 'f', 'r', 'a', 'm', 'e', 'backspace', 'backspace', 'backspace', 'backspace', 'a', 'm', 'e', 'return']","[0.42881190008483827, 0.5249596000649035, 0.7088649000506848, 0.7166907000355422, 0.9093754000496119, 1.0449447000864893, 1.165159200085327, 1.8610167000442743, 2.0053344001062214, 2.13375569996424, 2.236971199978143, 2.693435600027442, 2.8768494001124054, 3.0141658999491483, 3.1974794999696314]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,gullet,manure,19.5,20.5,video&audio/tariff_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,tariff,parish,None,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.4218947999179363, 0.5737231001257896, 1.0057550000492483, 1.1099308000411838, 1.2213985999114811, 1.40555280004628, 1.6214546000119299]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,breach,vanity,6.5,7.5,video&audio/ascend_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,ascend,hinder,1 = AOMIspec,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, breach,"['b', 'r', 'e', 'a', 'c', 'return']","[0.5322644000407308, 0.7002896999474615, 0.908674499951303, 1.093533799983561, 1.2760995000135154, 1.9562395999673754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,allure,binder,19.5,20.5,video&audio/virile_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,virile,campus,None,,,,,,,,,,,0,3,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[0.4303504000417888, 0.5976107001770288, 0.741623800015077, 0.9419267000630498, 1.04559770016931, 1.109677400207147, 1.2938965000212193]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,ethnic,goblet,19.5,20.5,video&audio/subtle_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,subtle,trench,None,,,,,,,,,,,0,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ethnic,"['a', 't', 'h', 'i', 'backspace', 'n', 'backspace', 'backspace', 'backspace', 'backspace', 'e', 't', 'h', 'n', 'i', 'c', 'return']","[0.5557957000564784, 0.7563076999504119, 0.8756689999718219, 1.0518983998335898, 1.5235601998865604, 2.252102099824697, 2.6031961999833584, 2.731557099847123, 2.8521381998434663, 2.9718789998441935, 3.611322300042957, 3.7800709998700768, 3.9559346998576075, 4.179358899826184, 4.299578699981794, 4.419428399996832, 4.6510689000133425]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,ration,parole,6.5,7.5,video&audio/devise_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,devise,befall,None,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.4553831999655813, 0.9673811001703143, 1.279114100150764, 1.3918110001832247, 1.527423599967733, 1.7031688999850303, 2.0632019999902695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
,None,None,None,None,None,None,None,None,None,None,mucous,musket,19.5,20.5,video&audio/plasma_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,plasma,fungal,None,,,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mucous,"['m', 'u', 'c', 'o', 'u', 's', 'return']","[0.6441061000805348, 0.9157010999042541, 1.0674548998940736, 1.2035155000630766, 1.3875271000433713, 1.5159438999835402, 1.9801761000417173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,G,2023_Jan_30_1448,student_TT_local,2021.1.4,60.067527911603314,
