pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.7686313000012888, 0.8727519999956712, 1.065480799996294, 1.3526923999888822, 1.4250639999954728, 1.5295416000008117, 4.361176399994292]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.6571601000032388, 0.8581279999925755, 1.193455200002063, 1.2732045000011567, 1.417766999991727, 1.5292776999995112, 2.08118779999495]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.843379099998856, 1.0031009999947855, 1.3635236999980407, 1.5631862000009278, 1.6516125999914948, 2.5235691999987466, 2.6758515999972587]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,falter,origin,6.5,7.5,video&audio/tandem_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,tandem,potent,None,,,,,,,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.7337592999974731, 0.7907235000020592, 1.118370700001833, 1.3818406000063987, 1.4699171999964165, 1.6298816000053193, 1.925850800005719]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,virile,apathy,19.5,20.5,video&audio/joiner_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,joiner,revolt,None,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, virile,"['v', 'i', 'r', 'i', 'l', 'e', 'return']","[0.5522940999944694, 0.6961174999887589, 0.9684465999889653, 1.0723196999897482, 1.2560274999996182, 1.3361015999980737, 1.6237806999997701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,cortex,mussel,6.5,7.5,video&audio/induce_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,induce,savant,None,,,,,,,,,,,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cortex,"['c', 'o', 'r', 't', 'e', 'x', 'return']","[0.4560131999896839, 0.7289620999945328, 1.025030799995875, 1.1443538999883458, 1.2962412999913795, 1.5122550999949453, 1.7360683000006247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,hippie,herbal,19.5,20.5,video&audio/hearth_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,hearth,sonnet,None,,,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hippie,"['h', 'i', 'p', 'p', 'i', 'e', 'return']","[0.4261823999986518, 0.6020477999991272, 0.8184665000007953, 1.0981356999982381, 2.218313199991826, 2.2984118000022136, 2.5069788999971934]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,devise,warble,6.5,7.5,video&audio/mangle_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,mangle,satire,None,,,,,,,,,,,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.4384912999958033, 0.5987412999966182, 0.7828797999973176, 1.0140486000018427, 1.1262844000011683, 1.2941912999958731, 1.4545514000055846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,ritual,portal,6.5,7.5,video&audio/clergy_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,clergy,coerce,None,,,,,,,,,,,0,5,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ritual,"['r', 'i', 't', 'u', 'a', 'l', 'return']","[0.7128429999866057, 0.8315977999882307, 1.1036988999985624, 1.3116881999885663, 1.3916784999892116, 1.5440362999943318, 1.8077381999901263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
,None,None,None,None,None,None,None,None,None,None,confer,tamper,19.5,20.5,video&audio/innate_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,innate,critic,None,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, confer,"['c', 'o', 'n', 'f', 'e', 'r', 'return']","[0.7459873000043444, 0.8250494000094477, 1.0572360000078334, 1.3212862000073073, 1.369644900012645, 1.5216218999994453, 1.7050368000054732]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,A,2023_Feb_09_1114,student_TT_local,2021.1.4,59.95566877771931,
