pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.4950508000329137, 0.9430307000875473, 1.1830667001195252, 1.3752227001823485, 1.6309794001281261, 1.8469781000167131, 1.9589602001942694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['r'],"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.378300900105387, 0.5543357999995351, 0.7302052001468837, 0.954349200008437, 1.0662128999829292, 1.4584129999857396, 1.682269300101325]",[2.5966581001412123],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.6745509000029415, 0.8261943000834435, 0.9222061999607831, 1.1461629001423717, 1.3143879000563174, 1.4820971000008285, 1.5781986000947654]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,subdue,matron,6.5,7.5,video&audio/feudal_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,feudal,impose,None,,,,,,,,,,,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.4590608000289649, 0.683289899956435, 0.9310898999683559, 1.187124399933964, 1.363369199912995, 1.4431551001034677, 1.6270475999917835]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,malady,revoke,19.5,20.5,video&audio/shrewd_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,shrewd,mirage,None,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, malady,"['m', 'a', 'l', 'a', 'd', 'y', 'return']","[0.5304477999452502, 0.8024659000802785, 0.986486200010404, 1.2742733999621123, 1.5143770999275148, 1.6823088000528514, 1.9304695001337677]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,cortex,mussel,6.5,7.5,video&audio/induce_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,induce,savant,None,,,,,,,,,,,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cortex,"['c', 'o', 'r', 't', 'e', 'x', 'return']","[0.6172480001114309, 0.752971800044179, 0.945195100037381, 1.1289035000372678, 1.2970592000056058, 1.625191800063476, 1.7129484000615776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,piston,shrill,6.5,7.5,video&audio/caviar_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,caviar,pursue,None,,,,,,,,,,,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[0.7090670999605209, 0.9333798000589013, 1.1172512001357973, 1.389184599975124, 1.4453863000962883, 1.6851393999531865, 1.989262199960649]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,neural,ordain,19.5,20.5,video&audio/septic_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,septic,quarry,None,,,,,,,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, neural,"['n', 'e', 'u', 'r', 'a', 'l', 'return']","[0.4458172998856753, 0.6297218999825418, 0.782260499894619, 0.9096835998352617, 1.1416950998827815, 1.2297775000333786, 1.5096517999190837]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,parcel,entail,19.5,20.5,video&audio/primal_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,primal,novice,None,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parcel,"['p', 'a', 'c', 'e', 'l', 'backspace', 'backspace', 'backspace', 'r', 'c', 'e', 'l', 'return']","[0.4357660999521613, 0.603322200011462, 1.2275680999737233, 1.4756400000769645, 1.6116972998715937, 2.155356700066477, 2.3233926000539213, 2.4756708999630064, 2.787426099879667, 2.995486499974504, 3.1956374999135733, 3.267453300068155, 3.4996350000146776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
,None,None,None,None,None,None,None,None,None,None,jackal,shroud,19.5,20.5,video&audio/hamlet_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,hamlet,parole,None,,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jackal,"['j', 'c', 'k', 'a', 'l', 'return']","[0.42619439982809126, 0.8501282997895032, 1.0899339998140931, 1.2822793999221176, 1.4418020998127759, 2.018120699794963]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,A,2023_Feb_22_1643,student_TT_local,2021.1.4,47.65524290414549,
