pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[1.923666200000298],['return'],[1.129463900000701],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[2.9706560999984504, 3.3783140999985335, 3.8503294000001915, 4.794583700000658, 4.92232309999963, 5.050622399998247, 6.170784999998432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[1.5597044999994978, 1.639847099999315, 1.8318165999990015, 2.511766699997679, 2.7277503999976034, 3.224244599998201, 4.447461600000679]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
update,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['r'],[0.9033283999997366],"['u', 'p', 'd', 'a', 't', 'e', 'return']","[1.707936899998458, 2.123850500000117, 2.4354270999974688, 2.540483499997208, 2.683933199998137, 2.811930099996971, 3.6595968999972683]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
height,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.7120963000015763, 0.8318307000008645, 1.1037295999994967, 1.4558862000012596, 1.6245645000017248, 1.8797377000009874, 2.719604000001709]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.45763499999884516, 0.5456922000012128, 0.6979752000006556, 1.2179065000018454, 1.6271019999985583, 1.8022458000014012, 2.826360200000636]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,oblige,mystic,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/infirm_TT_3X.mp4,pulpit,infirm,None,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.8873295000012149, 1.2470035000005737, 1.3992070999993302, 1.7271513999985473, 2.0953273000013724, 2.223228700000618, 2.7996472000013455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,primal,entail,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/novice_TT_3X.mp4,parcel,novice,None,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, primal,"['p', 'r', 'i', 'm', 'a', 'l', 'return']","[1.1458592000017234, 1.2663188000005903, 1.4820573000033619, 1.7702983000017412, 1.9941337000018393, 2.2822958000033395, 3.0915312000033737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,mangle,warble,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/fodder_touch_edited.mp4,devise,fodder,None,,,,,,,,,,,0,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mangle,"['m', 'a', 'n', 'g', 'l', 'e', 'return']","[1.0755258000026515, 1.1790508000012778, 1.395200400002068, 1.6346574000017426, 2.0266271000000415, 2.1874322000003303, 2.419002600003296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
,None,None,None,None,None,None,None,None,None,None,joiner,apathy,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/revolt_TT_3X.mp4,virile,revolt,None,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, joiner,"['j', 'p', 'backspace', 'o', 'i', 'n', 'e', 'r', 'return']","[0.7689834000011615, 1.073454400000628, 2.4167035999998916, 2.8573131000011927, 3.0487805000011576, 3.3289585999991687, 3.481392900001083, 3.608652800001437, 4.441690399999061]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,H,2023_Feb_08_1444,student_TT_local,2021.1.4,60.14925435970452,
