pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI_promptBkgdKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['h', 'e', 'i']","[1.3477300000377, 1.5156103998888284, 1.6357807000167668]","['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.7724701999686658, 0.908577400026843, 1.028805899899453, 1.261134000029415, 1.3648957000114024, 1.5406937999650836, 2.261133899912238]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.7507946998812258, 0.9351128998678178, 1.1428439998999238, 1.3745560999959707, 1.6467855998780578, 1.846879999851808, 2.126778499921784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.5146013000048697, 0.6904841000214219, 0.930503600044176, 1.0104477999266237, 1.210506800096482, 1.507162099936977, 2.0105244000442326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,defame,covert,19.5,20.5,video&audio/binder_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,binder,patent,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, defame,"['d', 'e', 'f', 'a', 'm', 'e', 'return']","[0.8357593999244273, 0.9788448999170214, 1.1391535999719054, 1.3629224998876452, 1.5629139000084251, 1.731401199940592, 2.0509868999943137]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,origin,falter,6.5,7.5,video&audio/potent_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,potent,tandem,None,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, origin,"['o', 'r', 'i', 'g', 'i', 'n', 'return']","[0.5368588001001626, 0.6808998000342399, 0.8489727999549359, 1.296941400039941, 1.3770735000725836, 1.6733568001072854, 1.9929270001593977]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,ration,solemn,19.5,20.5,video&audio/goblet_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,goblet,befall,None,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ration,"['r', 'a', 't', 'i', 'o', 'n', 'return']","[0.66321019991301, 0.8789236000739038, 1.1189564000815153, 1.2151947000529617, 1.382927400059998, 1.479146600002423, 1.839721200056374]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,fusion,obsess,19.5,20.5,video&audio/sherry_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,sherry,zephyr,None,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fusion,"['f', 'u', 's', 'i', 'o', 'n', 'return']","[0.7921657999977469, 0.9603299999143928, 1.1281667998991907, 1.2402428998611867, 1.424467399949208, 1.5284372000023723, 1.8081846998538822]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,shroud,jackal,19.5,20.5,video&audio/parole_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,parole,hamlet,None,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shroud,"['s', 'h', 'r', 'o', 'u', 'u', 'backspace', 'd', 'return']","[0.6669426998123527, 1.147057899972424, 1.3629885998088866, 1.4749695998616517, 1.7312131999060512, 1.8830155998002738, 2.450993999838829, 2.611696599982679, 2.730894699925557]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,breach,matrix,19.5,20.5,video&audio/vanity_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,vanity,hinder,1 = AOMIspec,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, breach,"['b', 'r', 'e', 'a', 'c', 'h', 'return']","[0.586767400149256, 0.7388806999661028, 0.9150894000194967, 1.0751686999574304, 1.2671779000665992, 1.4032610000576824, 1.6589558999985456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,eatery,ascend,19.5,20.5,video&audio/plight_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,plight,metric,2 = AOMIgen,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, eatery,"['e', 'a', 't', 'e', 'r', 'y', 'return']","[0.7764302999712527, 0.9523503999225795, 1.168551999842748, 1.352829199982807, 1.4963165998924524, 1.752315899822861, 1.945148600032553]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,gullet,picket,6.5,7.5,video&audio/upkeep_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,upkeep,parish,None,,,,,,,,,,,0,7,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.7069542999379337, 0.8429719998966902, 1.1149341000709683, 1.2274082000367343, 1.3629510998725891, 1.595014400081709, 1.7871506998781115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,galley,tariff,19.5,20.5,video&audio/strife_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,strife,delude,None,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, galley,"['g', 'a', 'l', 'l', 'e', 'u', 'backspace', 'y', 'return']","[0.6448246000800282, 0.869140800088644, 1.0770841999910772, 1.2289674999192357, 1.5649208000395447, 2.149162600049749, 2.7012980000581592, 2.8849510999862105, 3.0530336999800056]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,ethnic,botany,6.5,7.5,video&audio/fodder_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,fodder,trench,None,,,,,,,,,,,0,9,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['e'], ethnic,"['e', 't', 'h', 'n', 'i', 'c', 'return']","[0.5347685001324862, 0.838285000063479, 0.942304200027138, 1.2310552999842912, 1.3584066999610513, 1.6703167001251131, 1.8063714001327753]",[2.9012623000890017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,entail,parcel,19.5,20.5,video&audio/novice_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,novice,primal,None,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, entail,"['e', 'n', 't', 'a', 'i', 'l', 'return']","[0.6651790998876095, 0.8009913999121636, 0.9453775999136269, 1.1608754999469966, 1.2409884000662714, 1.4170303998980671, 1.6650131999049336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,matron,subdue,6.5,7.5,video&audio/impose_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,impose,feudal,None,,,,,,,,,,,0,11,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.8295787998940796, 0.9576439999509603, 1.2215723998378962, 1.3977683999110013, 1.7179183999542147, 1.9335538998711854, 2.2215406999457628]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,divert,kipper,6.5,7.5,video&audio/musket_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,musket,meddle,None,,,,,,,,,,,0,12,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.6540008999872953, 0.7261020999867469, 0.8776902998797596, 1.0458396999165416, 1.1817697999067605, 1.3498468999750912, 1.4937605999875814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,mussel,cortex,6.5,7.5,video&audio/savant_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,savant,induce,None,,,,,,,,,,,0,13,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mussel,"['m', 'u', 's', 's', 'e', 'l', 'return']","[0.6422654001507908, 0.8423008001409471, 0.9542561999987811, 1.090537599986419, 1.2584524999838322, 1.3465293999761343, 1.6264967999886721]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,export,cervix,6.5,7.5,video&audio/murmur_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,murmur,cobble,None,,,,,,,,,,,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, export,"['e', 'x', 'p', 'o', 'r', 't', 'return']","[0.5391422999091446, 0.7548862998373806, 0.8669584998860955, 1.075001899851486, 1.210820899810642, 1.3631483998615295, 1.5307901999913156]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,linear,belfry,6.5,7.5,video&audio/manure_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,manure,girdle,None,,,,,,,,,,,0,15,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, linear,"['l', 'i', 'n', 'e', 'a', 'r', 'return']","[0.6376400000881404, 0.862138600088656, 0.9657406001351774, 1.0698544001206756, 1.3737325000111014, 1.5737014999613166, 1.7897391999140382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,allure,forage,6.5,7.5,video&audio/legion_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,legion,campus,None,,,,,,,,,,,0,16,16,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[0.5947640999220312, 0.8267737000714988, 1.0027765000704676, 1.210676999995485, 1.3306980000343174, 1.4750077000353485, 1.6515373999718577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,tamper,confer,19.5,20.5,video&audio/critic_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,critic,innate,None,,,,,,,,,,,0,17,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tamper,"['t', 'a', 'm', 'p', 'e', 'r', 'return']","[0.47075640014372766, 0.719143700087443, 0.7987967000808567, 0.9586632000282407, 1.0469584001693875, 1.215121100191027, 1.382789900060743]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,mucous,subtle,6.5,7.5,video&audio/brazen_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,brazen,fungal,None,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mucous,"['m', 'u', 'c', 'o', 'u', 's', 'return']","[1.315699900034815, 1.5079773000907153, 1.6758107000496238, 1.8121450999751687, 2.0118881999514997, 2.3560629000421613, 2.483712499961257]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,ordain,neural,19.5,20.5,video&audio/quarry_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,quarry,septic,None,,,,,,,,,,,0,19,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ordain,"['o', 'r', 'd', 'a', 'i', 'n', 'return']","[0.7987508000805974, 0.8780700000934303, 1.0779464000370353, 1.222016799962148, 1.2939262001309544, 1.382222100161016, 1.6459254000801593]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,warble,devise,6.5,7.5,video&audio/satire_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,satire,mangle,None,,,,,,,,,,,0,20,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, warble,"['w', 'a', 'r', 'b', 'l', 'e', 'return']","[0.5725952999200672, 0.7571814998518676, 0.9649030000437051, 1.212581800064072, 1.3085675998590887, 1.4365637998562306, 1.6608553000260144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
,None,None,None,None,None,None,None,None,None,None,mystic,pulpit,19.5,20.5,video&audio/infirm_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,infirm,oblige,None,,,,,,,,,,,0,21,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.6191885999869555, 0.9311610001605004, 1.0754748000763357, 1.3233050999697298, 1.4273692001588643, 1.611521900165826, 1.8672615000978112]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,C,2023_Feb_22_1446,student_TT_local,2021.1.4,47.993257945180645,
