pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['u', 'p', 'd', 'a', 't', 'e']","[1.2717464999295771, 1.4884150000289083, 1.927570200059563, 2.056683599948883, 2.2166748999152333, 2.279598099878058]","['u', 'p', 'd', 'a', 't', 'e', 'return']","[4.54940570006147, 4.733403500169516, 4.846458800137043, 4.957927800016478, 5.0856314999982715, 5.1747791999951005, 5.678587300004438]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['r', 'e', 'o', 'k', 'backspace', 'backspace', 'p', 'l', 'a', 'y', 'return']","[0.8391580998431891, 0.911299099912867, 1.039365799864754, 1.2236961999442428, 2.3034039998892695, 2.4956149999052286, 3.239480899879709, 3.3036443998571485, 3.4716623998247087, 3.6234941999427974, 3.879129600012675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['h', 'e']","[2.7227102001197636, 2.874716900056228]","['h', 'e', 'i', 'g', 'g', 'h', 't', 'backspace', 'backspace', 'backspace', 'h', 't', 'return']","[0.9711985997855663, 1.1161922998726368, 1.25129109993577, 1.3551391998771578, 1.4104943999554962, 1.6187343997880816, 1.7225860999897122, 2.4426146999467164, 2.578630899777636, 2.715792599832639, 3.2188688998576254, 3.370703599881381, 3.6429512999020517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
update,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['u', 'bracketleft', 'a', 't', 'backspace', 'backspace', 'backspace', 'p', 'd', 'a', 't', 'e', 'return']","[0.5377507999073714, 0.9061844998504966, 1.0824304998386651, 1.1615890997927636, 1.5614618000108749, 1.69008219987154, 1.8338595998939127, 2.4575225999578834, 2.689530299976468, 2.9056556997820735, 2.9453805999364704, 3.0340271999593824, 3.2414374998770654]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
height,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.9497579000890255, 1.0465466000605375, 1.1816471000202, 1.3104060001205653, 1.47785979998298, 1.589761400129646, 1.781690200092271]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.46892200014553964, 0.5168345000129193, 0.6458560000173748, 0.7577351999934763, 0.9577131001278758, 1.2291011000052094, 1.3413784001022577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,sonnet,confer,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/innate_TT_3X.mp4,tamper,innate,None,,,,,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sonnet,"['s', 'o', 'n', 'n', 'e', 't', 'return']","[0.7536549000069499, 0.8571064998395741, 1.2098371998872608, 1.3863212999422103, 1.5374162998050451, 1.5927932998165488, 1.7214561000000685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,matrix,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/hinder_TT_3X.mp4,breach,hinder,1 = AOMIgen,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, vanity,"['v', 'a', 'n', 'i', 't', 'y', 'return']","[0.557235499843955, 0.6604821998625994, 0.7887070998549461, 0.964771999977529, 1.0688634999096394, 1.4929374000057578, 1.7726912999060005]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,parole,solemn,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/befall_TT_3X.mp4,ration,befall,None,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parole,"['p', 'a', 'r', 'o', 'l', 'e', 'return']","[0.6584493999835104, 0.8663301998749375, 0.9400736999232322, 1.1704390000086278, 1.386596699943766, 1.4589943999890238, 1.6185160998720676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
,None,None,None,None,None,None,None,None,None,None,deduct,hippie,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/hearth_TT_3X.mp4,herbal,hearth,None,,,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, deduct,"['d', 'e', 'u', 'd', 'backspace', 'backspace', 'd', 'u', 'c', 't', 'return']","[0.39133840007707477, 0.5993115999735892, 0.8473386999685317, 1.3512301000300795, 1.919228299986571, 2.0477915999945253, 2.272886399878189, 2.4079545999411494, 2.4959263999480754, 2.7920174999162555, 2.839309500064701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,F,2023_Jan_31_0946,student_TT_local,2021.1.4,59.625314530267396,
