pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,AOMI_promptBkgdKeys.rt,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[1.3429055998567492, 1.670927600003779, 2.0390514000318944, 2.4879985998850316, 2.758875499945134, 3.0629519999492913, 4.38306779996492]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['r', 'e', 'p', 'l', 'a']","['y', 'backspace', 'r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.09450719994492829, 2.070797099964693, 4.086530700093135, 4.551053399918601, 5.438666800037026, 5.718367399880663, 6.0302090998739, 6.334713799878955, 7.246432499960065]","[1.5942754000425339, 1.7866449002176523, 2.0829427000135183, 2.466388500062749, 2.6832336001098156]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.9347886999603361, 1.608043999876827, 1.9831363998819143, 2.519055699929595, 2.8549840999767184, 3.2068922999314964, 3.854955199873075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,hinder,vanity,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/ascend_touch_edited.mp4,breach,ascend,1 = AOMIgen,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hinder,"['h', 'i', 'n', 'd', 'e', 'r', 'return']","[0.7471525000873953, 1.0598470999393612, 1.3627684998791665, 1.5791193000040948, 1.9630163998808712, 2.2348954998888075, 3.1242327999789268]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,meddle,musket,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/solemn_TT_3X.mp4,divert,solemn,None,,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, meddle,"['m', 'e', 'd', 'd', 'l', 'e', 'return']","[0.8665084999520332, 1.1547478998545557, 1.58653760002926, 1.8036837000399828, 2.3546076000202447, 2.5864011999219656, 3.107336499961093]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,tandem,potent,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/malady_TT_3X.mp4,origin,malady,None,,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, tandem,"['t', 'a', 'n', 'd', 'e', 'm', 'return']","[0.9018361000344157, 1.4304704000242054, 1.6942511000670493, 1.9262571001891047, 2.1583742999937385, 2.3584948000498116, 3.142295500030741]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,zephyr,sherry,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/forage_touch_edited.mp4,fusion,forage,None,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, zephyr,"['z', 'e', 'h', 'y', 'r', 'return']","[1.01248520007357, 1.4126005999278277, 3.1881254999898374, 3.5485447000246495, 4.716156299924478, 5.74878180003725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,campus,legion,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/virile_TT_3X.mp4,allure,virile,None,,,,,,,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, campus,"['c', 'a', 'm', 'p', 'u', 's', 'return']","[1.00787919992581, 1.3439005999825895, 1.5848495999816805, 2.2002872000448406, 2.584654599893838, 2.799914199858904, 3.7126986000221223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,innate,critic,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/hippie_touch_edited.mp4,tamper,hippie,None,,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, innate,"['i', 'n', 'n', 'a', 't', 'e', 'return']","[0.8367811001371592, 1.1175293000414968, 1.3101795001421124, 1.6849893000908196, 1.956845800159499, 2.2298678001388907, 2.957427600165829]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,oppose,jargon,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/botany_touch_edited.mp4,ghetto,botany,None,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oppose,"['o', 'p', 'p', 'o', 's', 'e', 'return']","[0.7452490997966379, 1.0973888000007719, 1.2492750999517739, 1.4986316999420524, 1.713691699784249, 2.4019037999678403, 3.233716399874538]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,metric,plight,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/belfry_touch_edited.mp4,eatery,belfry,2 = AOMIspec,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[1.0917377001605928, 1.7156720000784844, 2.2370917999651283, 2.483871400123462, 2.843723600031808, 3.156353499973193, 4.083588100038469]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,jailer,deduct,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/neural_TT_3X.mp4,nettle,neural,None,,,,,,,,,,,0,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, jailer,"['j', 'a', 'i', 'l', 'e', 'r', 'return']","[0.9821450999006629, 1.389869499951601, 2.2057141999248415, 2.4695229998324066, 3.061960899969563, 3.237512599909678, 4.053513599792495]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,parish,upkeep,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/tariff_TT_3X.mp4,gullet,tariff,None,,,,,,,,,,,0,9,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parish,"['p', 'a', 'r', 'i', 's', 'h', 'return']","[1.0344022999051958, 1.3467093999497592, 1.5701967999339104, 1.8438781998120248, 2.394532599952072, 2.6029100997839123, 3.658468599896878]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,befall,goblet,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/devise_touch_edited.mp4,ration,devise,None,,,,,,,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, befall,"['b', 'e', 'f', 'a', 'l', 'l', 'return']","[0.8826180000323802, 1.122575300047174, 1.4668028999585658, 1.8747334000654519, 2.2423177000600845, 2.442362899892032, 3.2508330999407917]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,cobble,murmur,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/picket_TT_3X.mp4,export,picket,None,,,,,,,,,,,0,11,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cobble,"['c', 'o', 'b', 'b', 'l', 'e', 'return']","[0.9609907998237759, 1.2413886999711394, 1.5208286999259144, 1.7293345998041332, 1.9772027998697013, 2.3373648999258876, 2.969349999912083]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,trench,fodder,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/subtle_TT_3X.mp4,ethnic,subtle,None,,,,,,,,,,,0,12,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, trench,"['t', 'r', 'e', 'n', 'c', 'h', 'return']","[0.9421182998921722, 1.2062697999645025, 1.526151399826631, 1.7581468999851495, 2.318718299968168, 2.5425190997775644, 3.319003799930215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,feudal,impose,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/subdue_TT_3X.mp4,matron,subdue,None,,,,,,,,,,,0,13,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, feudal,"['f', 'e', 'u', 'd', 'a', 'l', 'return']","[0.7166207998525351, 0.9486676000524312, 1.181041199946776, 1.4521838000509888, 1.6610194998793304, 1.9561348999850452, 2.9080980999860913]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,joiner,revolt,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/cortex_touch_edited.mp4,apathy,cortex,None,,,,,,,,,,,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, joiner,"['j', 'o', 'i', 'n', 'e', 'r', 'return']","[0.7242241001222283, 0.9878947001416236, 1.236118600005284, 1.4838262000121176, 1.6603771999944001, 1.8358390000648797, 2.8443345001433045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,output,convoy,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/parcel_TT_3X.mp4,uphold,parcel,None,,,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, output,"['o', 'u', 't', 'p', 'u', 't', 'return']","[1.059125600149855, 1.3857707001734525, 1.6898016000632197, 2.0828839000314474, 2.3631693001370877, 2.5537914000451565, 3.4338402000721544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,mangle,satire,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/ritual_TT_3X.mp4,warble,ritual,None,,,,,,,,,,,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mangle,"['m', 'a', 'n', 'g', 'l', 'e', 'return']","[1.0533502001781017, 1.4534364000428468, 1.6531491000205278, 1.989275500178337, 2.3658701002132148, 2.621126100188121, 3.6300655000377446]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,induce,savant,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/plasma_TT_3X.mp4,mussel,plasma,None,,,,,,,,,,,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, induce,"['i', 'n', 'd', 'u', 'c', 'e', 'return']","[0.9957485001068562, 1.2757407000754029, 1.508410400012508, 1.7713574001099914, 2.0439850999973714, 2.412226499989629, 3.156682100147009]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,girdle,manure,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/pulpit_TT_3X.mp4,linear,pulpit,None,,,,,,,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, girdle,"['g', 'i', 'r', 'd', 'l', 'e', 'return']","[1.0698959999717772, 1.398049300070852, 1.670031800167635, 2.4538696000818163, 2.7262790000531822, 2.8789382001850754, 3.5825966000556946]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,oblige,infirm,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/cervix_touch_edited.mp4,mystic,cervix,None,,,,,,,,,,,0,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.9925855998881161, 1.2806657999753952, 1.5287132000084966, 1.8569698999635875, 2.0411220998503268, 2.2409314999822527, 3.1128124999813735]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,patent,binder,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/frugal_touch_edited.mp4,defame,frugal,None,,,,,,,,,,,0,20,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, patent,"['p', 'a', 't', 'e', 'n', 't', 'return']","[1.0319401999004185, 1.3040040999185294, 1.6960010000038892, 1.9936315000522882, 2.256107799941674, 2.415753199951723, 3.472896199906245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,hearth,sonnet,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/kipper_touch_edited.mp4,herbal,kipper,None,,,,,,,,,,,0,21,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hearth,"['h', 'e', 'a', 'r', 't', 'h', 'return']","[0.6713044999632984, 0.8954038999509066, 1.2472477999981493, 1.4875062999781221, 1.7681464001070708, 1.9995341999456286, 2.736294500064105]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,primal,novice,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/confer_touch_edited.mp4,entail,confer,None,,,,,,,,,,,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, primal,"['p', 'r', 'i', 'm', 'a', 'l', 'return']","[0.911621900042519, 1.2078568001743406, 1.4154307001736015, 1.704221600200981, 2.527728100074455, 2.759648500010371, 3.879547400167212]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,caviar,pursue,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/piston_TT_3X.mp4,shrill,piston,None,,,,,,,,,,,0,23,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, caviar,"['c', 'a', 'v', 'i', 'a', 'r', 'return']","[1.3143537000287324, 1.61865200009197, 2.0582707000430673, 2.4423460999969393, 2.850721900118515, 3.2829701001755893, 4.450806500157341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,hamlet,parole,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/falter_touch_edited.mp4,shroud,falter,None,,,,,,,,,,,0,24,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, hamlet,"['h', 'a', 'm', 'l', 'e', 't', 'return']","[0.9661946000996977, 1.286631700117141, 1.6701643001288176, 2.0222483000252396, 2.5100698000751436, 2.8626807001419365, 3.702312100213021]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,shrewd,mirage,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/covert_touch_edited.mp4,revoke,covert,None,,,,,,,,,,,0,25,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrewd,"['s', 'h', 'r', 'e', 'w', 'd', 'return']","[1.2573338001966476, 1.5380355000961572, 1.913088500034064, 2.1937630001921207, 2.673369999974966, 3.625635800184682, 4.42563010007143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
,None,None,None,None,None,None,None,None,None,None,septic,quarry,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/jackal_touch_edited.mp4,ordain,jackal,None,,,,,,,,,,,0,26,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, septic,"['s', 'e', 'p', 't', 'i', 'c', 'return']","[0.8966050997842103, 1.232918499968946, 1.7130616998765618, 2.168677099980414, 2.4417719999328256, 3.241356899961829, 4.0806276998482645]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,001,B,2023_Jan_31_1144,student_TT_local,2021.1.4,59.93561715822562,
