pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['r', 'e']","[2.6841117999974813, 2.756135899999208]","['l', 'a', 'y', 'backspace', 'backspace', 'backspace', 'backspace', 'r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.1310239000013098, 0.2592999000007694, 0.45095500000024913, 2.0669371000003594, 2.258891000001313, 2.450978100001521, 2.747400000000198, 3.258892300000298, 3.3549096999995527, 3.5307939000012993, 3.603027600001951, 3.7473653000015474, 3.9069588000020303, 4.74731900000188]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['h'],[2.919646599999396],"['e', 'i', 'backspace', 'backspace', 'h', 'e', 'i', 'g', 'h', 't', 'return']","[0.060744599999452475, 0.19691000000239, 1.5404138000012608, 1.7646129000022484, 4.500655200001347, 4.644510699999955, 4.780661400000099, 5.068528600000718, 5.236851100002241, 5.3885320000008505, 7.94860300000073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,"['u', 'p', 'd', 'a', 't', 'e', 'w', 'return']","[0.5001831999979913, 0.6042569999990519, 1.028250899998966, 1.1004190999992716, 1.5006227000012586, 1.6280518999992637, 1.6367175999985193, 2.1563863000010315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,malady,shrewd,6.5,7.5,video&audio/revoke_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,revoke,mirage,None,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, malady,"['m', 'a', 'l', 'a', 'd', 'y', 'return']","[0.6089503000002878, 0.7209779000004346, 1.2488531000017247, 1.3933305999998993, 1.9208978999995452, 1.9929623999996693, 2.480906299999333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,cervix,cobble,19.5,20.5,video&audio/export_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,export,savant,None,,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, cervix,"['c', 'e', 'r', 'v', 'i', 'x', 'pound', 'backspace', 'return']","[0.6038245999989158, 0.7798934999991616, 1.0436695999997028, 1.2677479999983916, 1.5236955000000307, 1.7556810999994923, 1.8997340999994776, 2.699792499999603, 2.843761000000086]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,pulpit,oblige,6.5,7.5,video&audio/mystic_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,mystic,infirm,None,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, pulpit,"['p', 'u', 'l', 'p', 'i', 't', 'return']","[0.7309447999978147, 0.8507817999998224, 1.0987982000006014, 1.3627706999977818, 1.7790223999982118, 2.03488329999891, 2.3547256999991077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,obsess,zephyr,6.5,7.5,video&audio/fusion_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,fusion,critic,None,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, obsess,"['o', 'b', 's', 'e', 's', 's', 'return']","[0.7081535999968764, 0.9163507999983267, 1.5085558999999193, 1.6765871999996307, 1.9725113999993482, 2.1483494999993127, 2.300374099999317]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,belfry,girdle,19.5,20.5,video&audio/linear_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,linear,impose,None,,,,,,,,,,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, belfry,"['b', 'e', 'l', 'f', 'r', 'y', 'return', 'pound']","[0.6863322999997763, 0.8307113999981084, 1.0064499999971304, 1.3744086999977299, 1.6145025999976497, 1.7744308000001183, 2.038391199999751, 2.046321399997396]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,None,None,None,None,None,None,None,None,None,None,virile,joiner,6.5,7.5,video&audio/apathy_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,apathy,revolt,None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, virile,"['v', 'i', 'r', 'i', 'l', 'e', 'return']","[0.8756532999977935, 1.059649700000591, 1.3794696000004478, 1.5154633999991347, 1.7634674999972049, 1.9153805999994802, 2.083630400000402]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,frugal,oppose,6.5,7.5,video&audio/ghetto_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,ghetto,jargon,None,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, frugal,"['f', 'r', 'u', 'g', 'a', 'l', 'return']","[0.5130274000002828, 0.6730029999998806, 0.8330456999974558, 1.1213113999983761, 1.2810177999999723, 1.4656264999975974, 1.7449766999998246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,E,2023_Feb_09_1520,student_TT_local,2021.1.4,48.5125094351209,
