pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI_promptBkgdKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.5251633999869227, 1.101687500020489, 1.5414450999815017, 1.9891476000193506, 2.205805399978999, 2.365568400011398, 3.0371283999993466]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['e', 'p', 'l', 'a', 'y', 'return']","[0.28986979997716844, 0.546153100032825, 0.7938635000027716, 1.0186105000320822, 1.249900599999819, 2.387090000032913]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.43008009996265173, 0.9583036999683827, 1.349702499981504, 1.7016546999802813, 1.9978182999766432, 2.2618495000060648, 2.621642599988263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,portal,ritual,6.5,7.5,video&audio/coerce_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,coerce,clergy,None,,,,,,,,,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, portal,"['p', 'o', 'r', 't', 'a', 'l', 'return']","[0.6798964999616146, 1.0881373999873176, 1.4165562999551184, 1.7283760999562219, 1.9999927000026219, 2.3759628999978304, 2.9284999999799766]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,divert,kipper,6.5,7.5,video&audio/musket_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,musket,meddle,None,,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.6686434000148438, 0.972687000001315, 1.3160794000141323, 1.5324200000031851, 1.7240815999684855, 1.908583800017368, 2.3244476999971084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,gullet,picket,6.5,7.5,video&audio/upkeep_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,upkeep,parish,None,,,,,,,,,,,0,2,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.423104899993632, 0.7907110000378452, 1.111092000035569, 1.2953761999960989, 1.4956351000000723, 1.6949197000358254, 2.3591407000203617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,warble,devise,6.5,7.5,video&audio/satire_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,satire,mangle,None,,,,,,,,,,,0,3,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, warble,"['w', 'a', 'r', 'b', 'l', 'e', 'return']","[0.46063350001350045, 0.7878405000083148, 1.1724023999995552, 1.4282165000331588, 1.7641557000461034, 2.1079130000434816, 2.3879194000037387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,galley,tariff,19.5,20.5,video&audio/strife_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,strife,delude,None,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, galley,"['g', 'a', 'l', 'l', 'e', 'y', 'return']","[0.37921490002190694, 0.6593438000418246, 1.0193626999971457, 1.155606800050009, 1.3074311000527814, 1.4913334000157192, 2.1072649999987334]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing the same word you will need to type at various speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone typing different words to what you must type at various speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/afford_touch_edited.mp4,video&audio/amount_touch_edited.mp4,breach,matrix,19.5,20.5,video&audio/vanity_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,vanity,hinder,1 = AOMIspec,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, breach,"['b', 'r', 'e', 'a', 'c', 'h', 'return']","[0.6392130999593064, 0.8637604999821633, 1.0634744999697432, 1.3189719999791123, 1.5992168000084348, 1.727255799982231, 2.006974599964451]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,matron,subdue,6.5,7.5,video&audio/impose_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,impose,feudal,None,,,,,,,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.4163655000156723, 0.6803732999833301, 0.9049889000016265, 1.0964274000143632, 1.3763475000159815, 1.5683851999929175, 1.8163325000205077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
