pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contBkgdKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI_promptBkgdKeys.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'l', 'p', 'backspace', 'backspace', 'p', 'l', 'a', 'y', 'return']","[0.8129350999988674, 1.0454675999972096, 1.1970925999994506, 1.3568826999980956, 2.213148299997556, 2.3409178999972937, 2.9651484999994864, 3.10053109999717, 3.2205298999979277, 3.3568586999972467, 3.8768705999973463]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['e', 'i', 'g', 'h', 't', 'return']","[0.5837045000007492, 0.6637699999992037, 0.8877906999987317, 1.048111099997186, 1.1437298999990162, 1.8240079999995942]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.46800700000312645, 0.6761130000013509, 1.075584100002743, 1.2514070000033826, 1.3318541000007826, 1.4677842000019155, 2.1797484000016993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,infirm,oblige,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/mystic_touch_edited.mp4,pulpit,mystic,None,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, infirm,"['i', 'n', 'f', 'o', 'r', 'm', 'backspace', 'backspace', 'backspace', 'i', 'r', 'm', 'return']","[0.332302200000413, 0.516209000001254, 0.6283973999998125, 0.7487827000004472, 0.8844566000007035, 1.044323499998427, 1.3246171999999206, 1.4444022999996378, 1.7887492000008933, 2.1323707999981707, 2.22875280000153, 2.3480807000014465, 2.6519793000006757]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,murmur,cobble,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/export_TT_3X.mp4,cervix,export,None,,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, murmur,"['m', 'u', 'r', 'm', 'u', 'r', 'return']","[0.3576197000002139, 0.5977658000010706, 0.7015132999986236, 1.0535350999998627, 1.261441200000263, 1.3496615000003658, 1.7977169000005233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,goblet,befall,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ration_touch_edited.mp4,solemn,ration,None,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, goblet,"['g', 'o', 'b', 'l', 'e', 't', 'return']","[0.8087869999981194, 0.9052297999987786, 1.072675799998251, 1.1846794999983103, 1.376821599998948, 1.5846290999979828, 1.760852799998247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,legion,campus,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/allure_TT_3X.mp4,forage,allure,None,,,,,,,,,,,0,3,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, legion,"['l', 'e', 'g', 'i', 'o', 'n', 'return']","[0.8486511000010069, 0.9448346999997739, 1.2007510000003094, 1.2970137000011164, 1.4410850000022037, 2.328841700000339, 2.800760199999786]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,fodder,trench,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/ethnic_TT_3X.mp4,botany,ethnic,None,,,,,,,,,,,0,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fodder,"['f', 'o', 'd', 'e', 'backspace', 'd', 'e', 'r', 'return']","[0.4718448999992688, 0.4961857999987842, 0.8641209000015806, 1.0480629000012414, 1.759699999998702, 1.8717710999990231, 2.159919699999591, 2.3126408999996784, 2.879923799999233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,musket,meddle,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/divert_TT_3X.mp4,kipper,divert,None,,,,,,,,,,,0,5,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, musket,"['m', 'u', 's', 'k', 'e', 't', 'return']","[0.2728370000004361, 0.48873269999967306, 0.5527743000020564, 1.2408449000031396, 1.3368248000006133, 1.5377270000026328, 1.8807226000026276]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
,None,None,None,None,None,None,None,None,None,None,quarry,septic,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/innate_touch_edited.mp4,neural,innate,None,,,,,,,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['q'], quarry,"['q', 'u', 'a', 'r', 'r', 'y', 'y', 'backspace', 'return']","[0.36069990000032703, 0.4727027000008093, 0.576687500000844, 0.9289623000004212, 1.0815110000003187, 1.320825099999638, 1.5377168000013626, 2.2333432000014, 2.4570039000027464]",[2.3641787999986263],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,D,2023_Feb_08_1648,student_TT_local,2021.1.4,61.25457954430141,
