pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI_promptBkgdKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[1.1555852999990748, 1.2677891999992426, 1.5314139000001887, 1.8036369000001287, 1.964020299999902, 2.2517721999993228, 3.123589799999536]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['h', 'e', 'i', 'g', 'h', 't']","['h', 'e', 'i', 'g', 'h', 't', 'return']","[1.2081431000005978, 1.4805240999994567, 1.6563998999990872, 1.8801012000003539, 1.9285565999998653, 2.416686499998832, 2.8404689999988477]","[1.701796600000307, 1.9177894000004017, 2.0130595000009635, 2.213621700000658, 2.3169171000008646, 2.5810842999999295]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.3967216000000917, 0.7399546000015107, 0.9970694000003277, 1.107638000001316, 1.4119150000005902, 1.5321768000012526, 2.2845813000003545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,None,None,None,None,None,None,None,None,None,None,gullet,picket,6.5,7.5,video&audio/upkeep_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,upkeep,parish,None,,,,,,,,,,,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, gullet,"['g', 'u', 'l', 'l', 'e', 't', 'return']","[0.8637898999986646, 1.0481669999990118, 1.327452199999243, 1.487787299998672, 1.704665399998703, 2.063695299999381, 2.5115320999993855]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,None,None,None,None,None,None,None,None,None,None,warble,devise,6.5,7.5,video&audio/satire_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,satire,mangle,None,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['w', 'a']", warble,"['r', 'backspace', 'w', 'a', 'r', 'b', 'l', 'e', 'return']","[0.16354820000015025, 1.6281724000000395, 2.115871199999674, 2.6519825999985187, 2.915498200000002, 3.2919298999986495, 3.7876517999993666, 4.0118544999986625, 4.427628099998401]","[2.600246899999547, 2.928013099999589]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,None,None,None,None,None,None,None,None,None,None,linear,belfry,6.5,7.5,video&audio/manure_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,manure,girdle,None,,,,,,,,,,,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, linear,"['l', 'i', 'n', 'e', 'a', 'r', 'return']","[0.5487811000002694, 0.8685936000001675, 1.1573888000002626, 1.3249052999999549, 1.492932600000131, 1.8126492999999755, 2.0614696000011463]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,None,None,None,None,None,None,None,None,None,None,shrill,piston,6.5,7.5,video&audio/pursue_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,pursue,caviar,None,,,,,,,,,,,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrill,"['s', 'h', 'r', 'i', 'l', 'l', 'return']","[0.5499792999999045, 0.7103200999990804, 1.0388163000006898, 1.1982246000006853, 1.5191914999995788, 1.7425533999994514, 2.1502510999998776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,eatery,ascend,19.5,20.5,video&audio/plight_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,plight,metric,2 = AOMIgen,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, eatery,"['e', 'a', 't', 'e', 'r', 'y', 'return']","[0.7043604999998934, 0.9759113999989495, 1.296076799999355, 1.4245049000001018, 1.7361887999995815, 1.8965392999998585, 2.6083003999992798]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,None,None,None,None,None,None,None,None,None,None,mystic,pulpit,19.5,20.5,video&audio/infirm_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,infirm,oblige,None,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mystic,"['m', 'y', 's', 't', 'i', 'c', 'return']","[0.6886809999996331, 1.0722093999993376, 1.3126563999994687, 1.7125314999993861, 2.0004214999989927, 2.6402452000002086, 2.961469899999429]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
,None,None,None,None,None,None,None,None,None,None,shroud,jackal,19.5,20.5,video&audio/parole_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,parole,hamlet,None,,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shround,"['s', 'h', 'r', 'o', 'u', 'n', 'd', 'return']","[0.7228918999990128, 0.8907233999998425, 1.123478100000284, 1.4269961999998486, 1.5550397000006342, 1.883646399999634, 2.3789247999993677, 2.826932599999054]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,001,C,2023_Feb_08_1047,student_TT_local,2021.1.4,60.05154824905615,
