pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contBkgdKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI_promptBkgdKeys.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.5949622000334784, 0.7871674000052735, 1.034941100049764, 1.2832327999640256, 1.4669785000151023, 1.6831334000453353, 2.3949394000228494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'o', 'd', 's', 'a', 'e', 'backspace', 'backspace', 'backspace', 'a', 't', 'e', 'return']","[0.5692938000429422, 0.8973182000918314, 0.9054612000472844, 1.1611535000847653, 1.2810992000158876, 1.2896498000482097, 1.7851936999941245, 2.353030199999921, 2.50517400004901, 2.7611710000783205, 3.0733658000826836, 3.24946310010273, 3.385058500105515, 3.9293526000110433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.014789200038649142, 0.24698300007730722, 0.3987072000745684, 0.6067233000649139, 0.8067426000488922, 0.9988002000609413, 1.3831612999783829]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,zephyr,sherry,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/forage_touch_edited.mp4,fusion,forage,None,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, zephyr,"['z', 'e', 'p', 'h', 'y', 'r', 'return']","[0.9829107000259683, 1.2946586000034586, 1.5906967000337318, 1.8306388000492007, 2.0627040000399575, 2.2468539000255987, 2.4625964999431744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,joiner,revolt,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/cortex_touch_edited.mp4,apathy,cortex,None,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, joiner,"['j', 'o', 'i', 'n', 'e', 'r', 'return']","[0.6603688999311998, 0.8846394999418408, 1.124352699960582, 1.3883415999589488, 1.6607355999294668, 1.8684215999674052, 2.1246756999753416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,oppose,jargon,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/botany_touch_edited.mp4,ghetto,botany,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oppose,"['o', 'p', 'p', 'o', 's', 'e', 'return']","[0.6338229000102729, 0.8575467000482604, 1.033984399982728, 1.2578693999676034, 1.46611739997752, 1.6817346999887377, 1.9458581999642774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,clergy,coerce,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/obsess_TT_3X.mp4,portal,obsess,None,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['c', 'l']", clergy,"['e', 'r', 'g', 'y', 'backspace', 'backspace', 'backspace', 'backspace', 'c', 'l', 'e', 'r', 'g', 'y', 'return']","[0.01740170002449304, 0.11329500004649162, 0.43346410000231117, 0.6174064000369981, 1.5373621999751776, 1.745486699976027, 1.9455511999549344, 2.153546700021252, 2.633438799995929, 2.849426500033587, 3.0333968000486493, 3.2257239000173286, 3.5054130000062287, 3.681397099979222, 4.153533300035633]","[2.6683558999793604, 2.8364212999586016]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,mangle,satire,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/ritual_TT_3X.mp4,warble,ritual,None,,,,,,,,,,,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mangle,"['m', 'a', 'n', 'g', 'l', 'e', 'return']","[0.8586094999918714, 1.1386445000534877, 1.3706795000471175, 1.7147007000166923, 1.9626924999756739, 2.1706902000587434, 2.6426688000792637]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,shrewd,mirage,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/covert_touch_edited.mp4,revoke,covert,None,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, shrewed,"['s', 'h', 'r', 'e', 'w', 'e', 'd', 'return']","[0.6357362000271678, 1.763780300039798, 1.9957527000224218, 2.203737700008787, 2.411765099968761, 2.6360449000494555, 2.8279560999944806, 3.067721400060691]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
,None,None,None,None,None,None,None,None,None,None,befall,goblet,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/devise_touch_edited.mp4,ration,devise,None,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, befall,"['b', 'e', 'f', 'a', 'l', 'l', 'return']","[1.0072560000699013, 1.230564600089565, 1.4707868000259623, 1.7105684999842197, 1.982585999998264, 2.1586712000425905, 2.4307070000795648]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,001,B,2023_Feb_15_1645,student_TT_local,2021.1.4,48.02273590514534,
