pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[1.7839727000100538, 1.9600257000420243, 2.103833800065331, 2.216272799996659, 2.4398297000443563, 3.4881577000487596, 4.1199633000651374]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.7901401000563055, 1.150438499986194, 1.3904787000501528, 1.5021411000052467, 1.6543768000556156, 1.8066386999562383, 2.278087400016375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.6771709999302402, 1.2772427999880165, 1.437169099925086, 1.645170099916868, 1.829339599935338, 2.0294796999078244, 2.741470400011167]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,metric,eatery,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/plight_TT_3X.mp4,ascend,plight,2 = AOMIspec,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[0.5588578999741003, 0.710820599924773, 0.9828914999961853, 1.1753002000041306, 1.3670247999252751, 1.5112152999499813, 2.198854999965988]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,zephyr,fusion,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/critic_TT_3X.mp4,obsess,critic,None,,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, zephyr,"['z', 'e', 'p', 'h', 'y', 'r', 'return']","[0.3503580999094993, 0.6866555999731645, 0.8944544999394566, 1.2543500999454409, 1.4388270999770612, 2.5265786999370903, 3.134443399962038]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,septic,ordain,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/potent_touch_edited.mp4,neural,potent,None,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, septic,"['s', 'e', 'p', 't', 'i', 'c', 'return']","[0.381959900027141, 0.5099886000389233, 0.7100327999796718, 0.9019796999637038, 1.1099680999759585, 1.2299583000130951, 1.6699823000235483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,oblige,mystic,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/infirm_TT_3X.mp4,pulpit,infirm,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.6261455999920145, 0.7701179999858141, 0.9222247999859974, 1.2023286999901757, 1.5381900999927893, 1.698458099970594, 2.2982270000502467]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,feudal,matron,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/legion_touch_edited.mp4,subdue,legion,None,,,,,,,,,,,0,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, feudal,"['f', 'e', 'u', 'd', 'a', 'l', 'return']","[0.008231300045736134, 0.31230009999126196, 0.46430220000911504, 0.6803109999746084, 0.8484783000312746, 0.9922383000375703, 1.4164526000386104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,mangle,warble,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/fodder_touch_edited.mp4,devise,fodder,None,,,,,,,,,,,0,5,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mangle,"['m', 'a', 'n', 'g', 'l', 'e', 'return']","[0.5169848999939859, 0.6608307999558747, 0.8051851999480277, 1.1729662000434473, 1.3328406000509858, 1.4848461999790743, 1.780836999998428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
,None,None,None,None,None,None,None,None,None,None,induce,mussel,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/satire_touch_edited.mp4,cortex,satire,None,,,,,,,,,,,0,6,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, induce,"['i', 'n', 'd', 'u', 'c', 'e', 'return']","[0.6091178000206128, 0.8250572000397369, 1.0090041999937966, 1.2010001000016928, 1.3132104999385774, 1.641016999958083, 2.1770031999330968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,001,H,2023_Feb_16_1347,student_TT_local,2021.1.4,47.74527702749635,
