pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'e', 'backspace', 'a', 't', 'e', 'return']","[0.7680681999772787, 1.2160120999906212, 1.856067799963057, 1.9047588999383152, 2.8885353000368923, 3.5046701000537723, 4.0081933999899775, 4.3366576000116765, 5.000611099880189]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'capslock', 'a', 'y', 'return']","[0.7528015000279993, 1.5287111999932677, 2.3047421001829207, 3.777653800090775, 4.737238300032914, 5.512856899993494, 6.0651756001170725, 6.753035300178453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'r', 'backspace', 'e', 'i', 'h', 'backspace', 'g', 'h', 'y', 'backspace', 't', 'return']","[0.5286667998880148, 0.7684903000481427, 1.7926864000037313, 2.064598999917507, 2.4166153999976814, 2.7684625999536365, 3.680439099902287, 4.440436699893326, 5.080490400083363, 5.672513900091872, 6.4410182000137866, 6.664978099986911, 7.121411100029945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,kipper,divert,6.5,7.5,video&audio/meddle_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,meddle,musket,None,,,,,,,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.4913327998947352, 0.883832799969241, 1.7069025998935103, 1.9149239999242127, 2.1467375999782234, 2.659187899902463, 3.186789699830115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,plasma,nettle,6.5,7.5,video&audio/jailer_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,jailer,deduct,None,,,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['p'], plasma,"['l', 'backspace', 'p', 'l', 'a', 's', 'm', 'a', 'return']","[0.37814789987169206, 1.2587200999259949, 1.8028831998817623, 2.8116003000177443, 3.5383442000020295, 4.010624899994582, 4.330278000095859, 4.498517599888146, 5.147361800074577]",[2.6899133999831975],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,falter,origin,6.5,7.5,video&audio/tandem_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,tandem,potent,None,,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.5327278999611735, 0.9244786000344902, 2.324466200079769, 3.044945500092581, 3.325155100086704, 3.652675800025463, 4.405144599964842]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,neural,ordain,19.5,20.5,video&audio/septic_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,septic,quarry,None,,,,,,,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, neural,"['n', 'e', 'u', 'r', 'a', 'semicolon', 'backspace', 'l', 'return']","[0.709923000074923, 1.0294248000718653, 1.5254575000144541, 1.8374349002260715, 2.9417772002052516, 3.2298255001660436, 4.005611700005829, 4.725877900142223, 5.174567400012165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,devise,warble,6.5,7.5,video&audio/mangle_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,mangle,satire,None,,,,,,,,,,,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, devise,"['d', 'e', 'v', 'i', 's', 'e', 'return']","[0.5715008000843227, 1.0353234000504017, 1.5077547000255436, 2.0998281999491155, 2.8192243000958115, 3.4435739999171346, 4.339335300028324]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,ascend,eatery,19.5,20.5,video&audio/metric_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,metric,plight,2 = AOMIgen,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ascend,"['a', 's', 'c', 'space', 'e', 'n', 'd', 'backspace', 'backspace', 'backspace', 'backspace', 'e', 'n', 'd', 'return']","[0.5306935999542475, 1.7140671000815928, 4.00241700001061, 4.026221100008115, 4.794187899911776, 5.034112799912691, 5.482048199977726, 6.018440600018948, 6.1866059000603855, 6.346185399917886, 6.55491410009563, 7.042579700006172, 7.537914199987426, 7.722147400025278, 8.050096200080588]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
,None,None,None,None,None,None,None,None,None,None,debtor,uphold,6.5,7.5,video&audio/output_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,output,convoy,None,,,,,,,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['d'], debtor,"['e', 'b', 'backspace', 'backspace', 'd', 'e', 'b', 't', 'o', 'r', 'return']","[0.015036199940368533, 0.18310329993255436, 1.111450499854982, 1.3034161999821663, 2.7272157999686897, 3.175499599892646, 3.7514780999626964, 4.007408199831843, 4.143360799876973, 4.3514548998791724, 4.551604799926281]",[2.5494334001559764],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,A,2023_Jan_31_1546,student_TT_local,2021.1.4,59.72224378720723,
