pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,baseBkgdKeys.rt,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.5445766998454928, 0.6406298999208957, 0.8814462998416275, 0.9763257999438792, 1.240860999794677, 1.3447640999220312, 1.6251750998198986]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'r', 'i', 'g', 'h', 't', 'return']","[0.3562746997922659, 0.4518774999305606, 0.6678578997962177, 0.8532343998085707, 0.9251216999255121, 1.083830799907446, 1.3723365999758244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.3964408999308944, 0.5234964999835938, 0.6753608998842537, 0.748268699971959, 1.0838675000704825, 1.4353986999485642, 1.9313922999426723]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,parole,hamlet,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/shroud_touch_edited.mp4,jackal,shroud,None,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['p'],[2.5172602001111954], pareole,"['p', 'a', 'r', 'e', 'o', 'l', 'e', 'return']","[0.5734510000329465, 0.7423499999567866, 1.0132929999381304, 1.10136489989236, 1.21453160000965, 1.398103900020942, 1.5338190998882055, 1.8775598998181522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,sonnet,hearth,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/herbal_touch_edited.mp4,hippie,herbal,None,,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, sonnet,"['s', 'o', 'n', 'n', 'e', 't', 'return']","[0.3830198000650853, 0.5665658998768777, 0.7986220000311732, 0.9184195999987423, 1.0629968999419361, 1.1748081999830902, 1.463030599988997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,legion,campus,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/allure_TT_3X.mp4,forage,allure,None,,,,,,,,,,,0,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, legion,"['l', 'e', 'g', 'i', 'o', 'n', 'return']","[0.4489037999883294, 0.5687476999592036, 0.7529005999676883, 0.9286718000657856, 1.0408983998931944, 1.1447042000945657, 1.5925994000863284]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,pursue,caviar,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/shrill_TT_3X.mp4,piston,shrill,None,,,,,,,,,,,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, pursue,"['p', 'u', 'r', 's', 'u', 'e', 'return']","[0.3594941000919789, 0.72664749994874, 0.9266717999707907, 1.1187831000424922, 1.43937909998931, 1.5587292001582682, 1.8070275001227856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,infirm,oblige,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/mystic_touch_edited.mp4,pulpit,mystic,None,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, infirm,"['i', 'n', 'f', 'i', 'r', 'm', 'return']","[0.4832569998688996, 0.5553839998319745, 0.7148124999366701, 0.9559545998927206, 1.1397537000011653, 1.3389877998270094, 1.6830223000142723]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,metric,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/eatery_touch_edited.mp4,ascend,eatery,2 = AOMIspec,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, plgiht,"['p', 'l', 'g', 'i', 'h', 't', 'return']","[0.5807434001471847, 0.6839124001562595, 0.9000470000319183, 1.0127729000523686, 1.100439399946481, 1.2761652001645416, 1.6524088999722153]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
,None,None,None,None,None,None,None,None,None,None,potent,tandem,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/origin_TT_3X.mp4,falter,origin,None,,,,,,,,,,,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,, potent,"['p', 'o', 't', 'e', 'n', 'y', 'backspace', 't', 'return']","[0.4031706000678241, 0.5469196999911219, 0.755571800051257, 0.9069131000433117, 1.0512822000309825, 1.2190334999468178, 1.900015400024131, 2.091402000049129, 2.235305600101128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,D,2023_Jan_30_1646,student_TT_local,2021.1.4,60.51587364164571,
