pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1bkdgKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.8217971000121906, 0.9740844999905676, 1.1106269999872893, 1.3185325999511406, 1.4225664000259712, 1.5339034999487922, 2.125814100028947]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.501189999980852, 0.5414443999761716, 0.6458118999144062, 0.8292933999327943, 0.9412389999488369, 1.1412509999936447, 1.9811977000208572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.348565399996005, 0.42869740002788603, 0.5967526000458747, 0.621157200075686, 0.8446210999973118, 0.9245845000259578, 1.148413100047037]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,mucous,musket,19.5,20.5,video&audio/plasma_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,plasma,fungal,None,,,,,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, mucous,"['m', 'u', 'c', 'o', 's', 'return']","[0.6018688000040129, 0.9697737999958917, 1.2501659999834374, 1.4018490000162274, 1.8103176000295207, 2.265973799978383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,divert,upkeep,19.5,20.5,video&audio/solemn_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,solemn,meddle,None,,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, divert,"['d', 'i', 'v', 'e', 'r', 't', 'return']","[0.5922513999976218, 0.688426100066863, 0.8964823000133038, 1.016602300107479, 1.1283347000135109, 1.2644053000258282, 1.4403028000378981]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,apathy,revolt,6.5,7.5,video&audio/cortex_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,cortex,joiner,None,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, apathy,"['s', 'p', 'a', 't', 'h', 'y', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'a', 'p', 'a', 't', 'h', 'y', 'return']","[0.4062232000287622, 0.5262869999278337, 0.5744818999664858, 0.8382819999242201, 0.9583349999738857, 1.0862023999216035, 1.854301800020039, 1.9901365999830887, 2.07045829994604, 2.246284900000319, 2.39025739999488, 2.518565399921499, 2.8781937999883667, 3.1102013000054285, 3.19022520002909, 3.414480899926275, 3.4942343999864534, 3.6302742999978364, 3.902323200018145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,ethnic,goblet,19.5,20.5,video&audio/subtle_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,subtle,trench,None,,,,,,,,,,,0,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ethnic,"['e', 't', 'h', 'n', 'i', 'c', 'return']","[0.33662830002140254, 0.4967228000750765, 0.608695900067687, 0.8088455999968573, 0.9528294000774622, 1.2090115000028163, 1.4727977000875399]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,allure,binder,19.5,20.5,video&audio/virile_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,virile,campus,None,,,,,,,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[0.38443820003885776, 0.560759500018321, 0.6965730000520125, 0.8968373000388965, 1.016509999986738, 1.0884680999442935, 1.3529135000426322]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,linear,impose,19.5,20.5,video&audio/pulpit_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,pulpit,girdle,None,,,,,,,,,,,0,5,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, linear,"['l', 'i', 'n', 'e', 'a', 'r', 'return']","[0.3651803999673575, 0.5571113999467343, 0.6769017999758944, 0.9809895999496803, 1.0932007000083104, 1.1892129000043496, 1.4050221999641508]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,nettle,convoy,19.5,20.5,video&audio/matrix_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,matrix,jailer,None,,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, nettle,"['n', 'e', 't', 't', 'l', 'e', 'return']","[0.3815090999705717, 0.47733529994729906, 0.6379303999710828, 0.7734398999018595, 0.9013515999540687, 0.9816145999357104, 1.2453629999654368]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,revoke,mirage,6.5,7.5,video&audio/covert_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,covert,shrewd,None,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, revoke,"['r', 'e', 'v', 'o', 'k', 'e', 'return']","[0.35506179998628795, 0.44309950002934784, 0.603294900036417, 1.0351217000279576, 1.2275113000068814, 1.3711670000338927, 1.5790882000001147]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,portal,murmur,19.5,20.5,video&audio/neural_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,neural,clergy,None,,,,,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, portal,"['p', 'r', 't', 'backspace', 'backspace', 'backspace', 'p', 'o', 'r', 't', 'a', 's', 'backspace', 'l', 'return']","[0.3547215999569744, 0.4831887000473216, 0.683000799966976, 1.3628217000514269, 1.4590934000443667, 1.8587801000103354, 2.442847399972379, 2.594947600038722, 2.779154699994251, 2.858784900046885, 2.9871982999611646, 3.0266768999863416, 3.7628222999628633, 4.450813399977051, 4.666928500053473]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,uphold,pursue,19.5,20.5,video&audio/obsess_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,obsess,output,None,,,,,,,,,,,0,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, uphold,"['u', 'p', 'h', 'o', 'l', 'd', 'return']","[0.747675699996762, 1.3474222999066114, 1.5476827999809757, 1.7554455999052152, 2.28355059993919, 2.3955317999934778, 2.6436718999175355]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
,None,None,None,None,None,None,None,None,None,None,origin,coerce,19.5,20.5,video&audio/malady_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,malady,tandem,None,,,,,,,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, origin,"['o', 'r', 'i', 'g', 'i', 'n', 'return']","[0.6037679999135435, 0.6916136998916045, 1.2197061999468133, 1.6521230998914689, 1.771674699964933, 1.923819699906744, 2.4837550999363884]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,G,2023_Feb_16_1143,student_TT_local,2021.1.4,48.02345081116486,
