pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,AOMI_promptBkgdKeys.rt,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.6728802999987238, 0.8569021999992401, 1.0249437000002217, 1.281207899999572, 1.4568780999998125, 1.6168409999991127, 2.849372200000289]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.6719943000007333, 0.7920668000006117, 0.9677602000010666, 1.0961301999996067, 1.2639084000002185, 1.3921470000004774, 1.7924603000010393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.5123504999992292, 0.6723091000003478, 0.8563474000002316, 1.016165600000022, 1.1843114999992395, 1.4323745000001509, 1.9607832000001508]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,infirm,pulpit,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/oblige_TT_3X.mp4,mystic,oblige,None,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, infirm,"['i', 'n', 'f', 'i', 'r', 'n', 'backspace', 'm', 'return']","[0.5526532999992924, 0.7207486999996036, 0.8971940999999788, 1.0651471000001038, 1.233094399998663, 1.3852553999986412, 2.3772460000000137, 2.8728351999998267, 3.4727564999993774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,matrix,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/hinder_TT_3X.mp4,breach,hinder,1 = AOMIgen,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, vanity,"['v', 'a', 'n', 'i', 't', 'y', 'return']","[0.6303220999998302, 0.7983109999986482, 1.046192300000257, 1.1901921999997285, 1.3824010999996972, 1.510969599999953, 1.9660337999994226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, satire,"['s', 'a', 't', 'i', 'r', 'e', 'return']","[0.5199140999993688, 0.7040890000007494, 0.9198947999993834, 1.1041339999992488, 1.3679556000006414, 1.488067799999044, 1.6962217000000237]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,ascend,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/metric_TT_3X.mp4,eatery,metric,2 = AOMIspec,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plight,"['p', 'l', 'i', 'g', 'h', 't', 'return']","[0.5576407999997173, 0.6621580000009999, 0.8782726000008552, 1.0781249000010575, 1.1894442000011622, 1.285479000000123, 1.5820363000002544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,musket,subtle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fungal_touch_edited.mp4,mucous,fungal,None,,,,,,,,,,,0,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, musket,"['m', 'u', 's', 'k', 'e', 't', 'return']","[0.6397656999997707, 0.8719498999998905, 1.2397995999999694, 1.3518136000002414, 1.4799583000003622, 1.6237068000009458, 1.8801084000006085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,coerce,falter,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/tandem_touch_edited.mp4,origin,tandem,None,,,,,,,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, coerce,"['c', 'o', 'e', 'r', 'c', 'e', 'return']","[0.6857582000011462, 0.8058860000001005, 0.9424550000003364, 1.1017404000012903, 1.3018312000003789, 1.4139611000009609, 1.7109138000014354]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
,None,None,None,None,None,None,None,None,None,None,convoy,plasma,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/jailer_touch_edited.mp4,nettle,jailer,None,,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, convoy,"['c', 'o', 'n', 'v', 'o', 'y', 'return']","[0.8518734999997832, 0.9556494999997085, 1.1555570999989868, 1.3881717000003846, 1.5156350999986898, 1.7235473999990063, 2.396433199999592]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,F,2023_Feb_09_1320,student_TT_local,2021.1.4,59.829295054717065,
