pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.8909527000505477, 1.050557899987325, 1.2826839999761432, 1.33937370008789, 1.5472972001880407, 1.6668549000751227, 2.4751071999780834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
height,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['h', 'e', 'i', 'h', 'g', 't', 'return']","['h', 'e', 'i', 'g', 'h', 't', 'return']","[1.1001697999890894, 1.2521995001006871, 1.3641534999478608, 1.532136700116098, 1.6125795999541879, 1.7241700999438763, 2.300329399993643]","[1.1743710997980088, 1.2943163998425007, 1.3903881998267025, 1.566399399889633, 1.7023306000046432, 1.8308760998770595, 1.9428549997974187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
update,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['u', 'p', 'd', 'a', 't', 'e']","['u', 'p', 'd', 'a', 't', 'e', 'return']","[1.3621783999260515, 1.7858117998111993, 1.9217487999703735, 2.121894899988547, 2.233789699850604, 2.3217213000170887, 2.969921899959445]","[0.9649412999860942, 1.165080200182274, 1.3888662001118064, 1.5888435000088066, 1.708840399980545, 1.852881700033322]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
height,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['h', 'e', 'i', 'g', 'h', 't', 'return']","[0.7800549999810755, 0.9242901001125574, 1.044386100023985, 1.2279433999210596, 1.2999670999124646, 1.4040568999480456, 1.652157099917531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
update,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['u', 'p', 'd', 'a', 't', 'e', 'return']","[0.613209699979052, 0.8291751998476684, 1.0931665999814868, 1.28518579993397, 1.4293931999709457, 1.565164899919182, 1.9171652998775244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
replay,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"['r', 'e', 'p', 'l', 'a', 'y', 'return']","[0.5394309000112116, 0.6592101999558508, 0.8272080000024289, 0.8835408000741154, 1.1070850999094546, 1.2031940999440849, 1.6910709000658244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,strife,tariff,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/delude_TT_3X.mp4,galley,delude,None,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, stife,"['s', 't', 'i', 'f', 'e', 'return']","[0.6518440002109855, 0.9723122001159936, 1.1959560001268983, 1.34793970012106, 1.516099900007248, 1.668692200211808]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,potent,neural,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/septic_TT_3X.mp4,ordain,septic,None,,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, potent,"['p', 'o', 't', 'e', 'n', 't', 'return']","[0.68109570001252, 0.7530040999408811, 1.0172573998570442, 1.2651340998709202, 1.377178099937737, 1.5131957998964936, 1.7693533999845386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,sonnet,confer,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/innate_TT_3X.mp4,tamper,innate,None,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sonnet,"['s', 'o', 'n', 'n', 'e', 't', 'return']","[0.7250457999762148, 0.9409914000425488, 1.1889734000433236, 1.3171889998484403, 1.3972199000418186, 1.605151099851355, 1.8212037000339478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,fodder,devise,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/mangle_touch_edited.mp4,warble,mangle,None,,,,,,,,,,,0,3,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, fodder,"['f', 'o', 'd', 'd', 'e', 'r', 'return']","[0.6044914999511093, 0.7564910999499261, 0.9323663997929543, 1.0523735999595374, 1.2682788998354226, 1.3163477999623865, 1.7726586000062525]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,infirm,pulpit,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/oblige_TT_3X.mp4,mystic,oblige,None,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, infirm,"['i', 'n', 'i', 'backspace', 'f', 'i', 'r', 'm', 'return']","[0.7055663000792265, 0.7612842000089586, 1.0572700998745859, 1.7613260999787599, 1.9212114999536425, 2.0494639999233186, 2.1612658998928964, 2.2652867999859154, 2.8172542999964207]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,deduct,hippie,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/hearth_TT_3X.mp4,herbal,hearth,None,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, deduct,"['d', 'e', 'd', 'c', 'backspace', 'u', 'c', 't', 'return']","[0.5743466999847442, 0.7021717000752687, 1.1341386998537928, 1.3581131000537425, 1.8540508998557925, 2.158209899906069, 2.27023379993625, 2.494192000012845, 2.6061602998524904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
