participantID,Trial,Number,Speed,Adjacency_combined,R,RNG,NSQ,RNG2,Coupon,TPI,Repetition gap (mean)
aklima,practice 1,5,Slow,,,,,,,,
aklima,,2,Slow,,,,,,,,
aklima,,3,Slow,,,,,,,,
aklima,,9,Slow,,,,,,,,
aklima,,8,Slow,,,,,,,,
aklima,,2,Slow,,,,,,,,
aklima,,1,Slow,,,,,,,,
aklima,,6,Slow,,,,,,,,
aklima,,5,Slow,,,,,,,,
aklima,,9,Slow,,,,,,,,
aklima,,10,Slow,,,,,,,,
aklima,,3,Slow,,,,,,,,
aklima,,5,Slow,,,,,,,,
aklima,,6,Slow,,,,,,,,
aklima,,1,Slow,,,,,,,,
aklima,,9,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,practice 2,2,Fast,,,,,,,,
aklima,practice 2,8,Fast,,,,,,,,
aklima,practice 2,6,Fast,,,,,,,,
aklima,practice 2,5,Fast,,,,,,,,
aklima,practice 2,7,Fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,1,1,Slow,,,,,,,,
aklima,1,6,Slow,,,,,,,,
aklima,1,2,Slow,,,,,,,,
aklima,1,8,Slow,,,,,,,,
aklima,1,9,Slow,,,,,,,,
aklima,1,7,Slow,,,,,,,,
aklima,1,10,Slow,,,,,,,,
aklima,1,3,Slow,,,,,,,,
aklima,1,1,Slow,,,,,,,,
aklima,1,6,Slow,,,,,,,,
aklima,1,8,Slow,,,,,,,,
aklima,1,5,Slow,,,,,,,,
aklima,1,3,Slow,,,,,,,,
aklima,1,10,Slow,,,,,,,,
aklima,1,8,Slow,,,,,,,,
aklima,1,1,Slow,,,,,,,,
aklima,1,2,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,2,1,Fast,,,,,,,,
aklima,2,4,Fast,,,,,,,,
aklima,2,6,Fast,,,,,,,,
aklima,2,4,Fast,,,,,,,,
aklima,2,3,Fast,,,,,,,,
aklima,2,10,Fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,3,1,Slow,,,,,,,,
aklima,3,10,Slow,,,,,,,,
aklima,3,5,Slow,,,,,,,,
aklima,3,8,Slow,,,,,,,,
aklima,3,7,Slow,,,,,,,,
aklima,3,3,Slow,,,,,,,,
aklima,3,4,Slow,,,,,,,,
aklima,3,8,Slow,,,,,,,,
aklima,3,9,Slow,,,,,,,,
aklima,3,6,Slow,,,,,,,,
aklima,3,5,Slow,,,,,,,,
aklima,3,1,Slow,,,,,,,,
aklima,3,3,Slow,,,,,,,,
aklima,3,7,Slow,,,,,,,,
aklima,3,8,Slow,,,,,,,,
aklima,3,4,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,4,3,Slow,,,,,,,,
aklima,4,2,Slow,,,,,,,,
aklima,4,5,Slow,,,,,,,,
aklima,4,7,Slow,,,,,,,,
aklima,4,10,Slow,,,,,,,,
